,Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
792,Reaper,BR ,2,50%,2.4,2,3.5,6.5,7.3,358,57.2%,22.2,517,0.88,0.45,0.18,0.2,-734,-16,-228,0%,0%,0,-
793,Reble,KR ,9,66.7%,4.9,0.4,2.1,9.9,0.9,245,76.8%,6.4,149,2.72,1.57,0.3,0.39,-67,4,-40,44.4%,0%,0,-
794,RedBert,BR ,4,50%,3.1,2.5,3.3,7.5,0.9,254,72.2%,8.5,175,3.18,1.87,0.47,0.48,147,3,272,50%,0%,0,-
795,Reeker,DE ,4,50%,3.9,4.5,2,3.3,9.5,439,67.2%,23.1,541,1.14,0.37,0.27,0.22,-707,1,-160,25%,0%,0,-
796,Reiska,FI ,2,0%,1.4,2.5,3.5,2.5,8.5,358,45.5%,34.6,674,1.07,0.48,0.12,0.18,-144,-2,-266,50%,0%,0,-
797,Rekkles,SE ,5,40%,3.9,2.6,1.8,4.4,9.5,427,61.4%,24.1,594,1.45,0.53,0.38,0.19,-1173,-5,-497,0%,40%,0,1
798,Remix,DE ,2,0%,3.4,3.5,2.5,5,8.5,383,68.1%,29.4,589,1.38,0.35,0.32,0.13,-848,-10,-60,0%,0%,0,-
799,Reptile,DE ,2,100%,10.5,5,1,5.5,9.8,456,67.4%,31,567,1.64,0.43,0.4,0.15,-501,-18,-294,0%,0%,0,-
800,Revenge,US ,2,0%,0.8,0.5,2,1,9,370,50%,20.9,319,1.04,0.43,0.18,0.18,426,-3,-88,0%,0%,0,-
801,Reyzoasda,ES ,2,0%,1.2,0,3,3.5,0.7,203,63.3%,12.6,222,2.15,1.36,0.16,0.42,-434,-2,39,0%,0%,0,-
802,Rezso,PT ,2,0%,0.8,1.5,5.5,3,7.4,333,32.1%,24.4,529,0.6,0.28,0.13,0,-1314,-18,-290,0%,0%,0,1
803,Rhilech,TR ,2,100%,2.3,2.5,5,9,5.2,324,64.5%,15.1,385,2.38,0.69,0.58,0.24,-542,-6,-70,0%,50%,0,1
804,Rhuckz,PT ,5,40%,3.3,0.6,3,9.2,0.8,231,84.5%,7.2,176,3.05,1.73,0.28,0.35,-572,-10,-187,0%,20%,0,-
805,Ribu,PL ,5,0%,0.5,0.6,4,1.2,7.8,313,35%,21.4,327,0.81,0.35,0.13,0.09,-867,-14,-522,0%,0%,0,-
806,Rift,CH ,6,50%,4.4,5,2.2,4.5,10.3,471,82.3%,32.9,631,0.96,0.26,0.28,0.05,-170,1,39,16.7%,16.7%,1,-
807,Rifty,GB ,2,50%,7.5,2.5,1,5,7.9,374,78.6%,18.2,364,0.77,0.25,0.11,0.06,-323,4,-398,0%,0%,0,1
808,River,KR ,2,0%,2.3,4,3.5,4,5.6,326,77.5%,18.6,372,1.63,0.36,0.45,0.3,-1078,1,-760,0%,0%,0,-
809,Roamer,KR ,10,70%,6.4,3.1,1.4,5.9,8.8,413,57.6%,26.5,550,1.09,0.39,0.21,0.25,580,4,366,40%,10%,0,-
810,Robba,NL ,1,100%,4.5,5,2,4,8.3,443,47.4%,27.9,750,1.11,0.37,0.19,0.11,741,-20,88,0%,0%,0,-
811,RobbyBob,US ,7,42.9%,1.4,1.1,4.6,5.3,7.1,335,50.3%,25.9,438,0.89,0.29,0.18,0.08,-1272,-21,-543,0%,14.3%,0,3
812,Robo,BR ,4,50%,1.1,3.5,5.5,2.8,8.6,417,44.8%,25.5,559,1.11,0.46,0.17,0.15,-669,2,-640,0%,25%,0,2
813,Roi DEMON,FR ,6,100%,3,2.7,3.7,8.5,5,352,66.2%,20.4,482,1.34,0.32,0.24,0.16,-476,-16,-405,33.3%,0%,0,-
814,Roison,PL ,5,80%,13.4,3.8,1,9.6,8.5,432,65.8%,22.5,657,1.16,0.37,0.14,0.11,470,12,557,20%,0%,0,-
815,Romuka,UA ,1,100%,4.5,2,2,7,8.4,445,75%,20.1,539,1.09,0.45,0.19,0.17,1953,21,944,0%,0%,0,-
816,RooKie,KR ,5,60%,12.7,2.2,0.6,5.4,9,396,63.5%,25,534,-,-,-,-,-,-,-,-,-,-,-
817,Rooster,KR ,10,70%,4.3,2.6,1.6,4.3,7.6,377,48%,19.1,397,0.9,0.33,0.12,0.14,19,-10,-7,10%,0%,0,3
818,RoseThorn,US ,7,42.9%,2.1,0.7,4.4,8.4,4.7,302,70.6%,17,330,1.25,0.25,0.31,0.17,-667,-2,-209,0%,14.3%,0,-
819,Route,KR ,4,50%,3.2,2.8,3.3,7.5,9.2,410,70.3%,25,624,1.39,0.46,0.34,0.22,-128,1,-202,25%,0%,0,-
820,Rovex,CA ,6,16.7%,1.2,0.7,4.7,5,0.9,230,44.4%,9.2,195,2.57,1.41,0.33,0.2,-242,3,-88,16.7%,33.3%,0,-
821,Ruby,KR ,5,40%,2.7,5,4,5.6,8.5,411,65.8%,29.5,742,1.15,0.46,0.22,0.18,-359,-4,-416,0%,40%,0,2
822,Ruep,TR ,2,50%,2,2.5,2.5,2.5,8.7,394,60%,24,510,0.96,0.34,0.18,0.12,-886,-13,60,0%,0%,0,-
823,Ruf,EE ,5,60%,2.8,4.8,3,3.6,8.8,437,54.2%,25.4,607,0.97,0.39,0.23,0.1,-13,-3,-480,0%,0%,0,2
824,Rufus,CZ ,1,100%,-,1,0,12,0.3,271,92.9%,8.7,237,2.15,1.12,0.21,0.37,-295,-3,-159,100%,0%,0,-
825,Ruler,KR ,3,66.7%,7.3,7,2,7.7,9.7,466,74.3%,25.6,664,-,-,-,-,-,-,-,-,-,-,-
826,Rulfchen,DE ,4,50%,4.9,2.8,2,7,6.6,397,75.3%,21.1,456,1.3,0.29,0.23,0.25,564,10,419,25%,0%,0,3
827,Ryanzin,BR ,2,50%,3,6,3.5,4.5,8.3,429,69.3%,31.7,782,1,0.25,0.22,0.15,480,-6,-147,0%,50%,0,1
828,Rylle,DK ,3,100%,27,4,0.3,5,9.2,427,69.3%,19.8,426,1.29,0.39,0.17,0.12,86,3,331,0%,0%,0,1
829,Ryuzaki,RS ,5,80%,10,3.2,1.2,8.8,5.6,372,73.8%,12.9,308,1.34,0.21,0.25,0.19,648,-2,268,20%,0%,0,1
830,S0bek,FR ,6,50%,3.4,2.5,2.7,6.5,7.4,377,54.8%,19.7,481,1.03,0.33,0.14,0.18,-174,-4,57,0%,0%,0,2
831,S0ul,CA ,7,42.9%,3.2,0.7,2,5.7,7.6,354,50.2%,19.7,345,1.06,0.37,0.2,0.17,-417,-12,-337,0%,14.3%,0,-
832,SMILEY,SE ,4,100%,5.1,4,2,6.3,9,439,65.6%,26.9,774,1.36,0.47,0.23,0.16,871,25,1169,25%,25%,0,-
833,SSADY,KR ,2,0%,0.9,1,4,2.5,7.6,343,68.8%,21.6,365,0.71,0.33,0.11,0.12,-464,1,-562,50%,50%,0,-
834,ST3PZ,BR ,2,100%,6.6,3.5,2.5,13,8,413,80.1%,33,887,1.1,0.45,0.21,0.21,-672,-4,161,50%,0%,0,-
835,Sacre,HR ,4,50%,3.1,2.5,2.3,4.5,8.1,379,51.6%,20.1,379,1.25,0.46,0.17,0.16,-288,-4,-60,25%,0%,0,1
836,Sahira,SE ,2,100%,9.3,6,1.5,8,8.7,435,60.1%,21.9,545,0.94,0.32,0.16,0.19,537,-9,-483,0%,0%,0,-
837,Saintsu,RS ,3,0%,0.6,2,5.7,1.3,4.8,283,46.7%,13.2,209,0.73,0.28,0.09,0.16,-1709,-12,-951,66.7%,0%,0,1
838,Sajator,CZ ,5,60%,2.3,3.6,3,3.4,9,409,45%,23.8,532,1.22,0.27,0.22,0.09,-421,0,-224,0%,20%,0,2
839,Saken,FR ,4,25%,1.5,2.8,4,3.3,8.6,379,49.3%,30.4,645,1.28,0.46,0.15,0.11,-316,0,-406,0%,0%,0,-
840,Samkz,BR ,2,100%,8.5,6,2,11,5.2,376,85.2%,19.2,541,1.31,0.5,0.2,0.32,846,4,633,50%,0%,0,-
841,Santorin,DK ,2,0%,1.2,1,2.5,2,5.1,288,66.7%,13.8,200,1.76,0.25,0.63,0.25,-47,9,238,0%,0%,0,1
842,Saulius,LT ,5,60%,5.2,5,1.8,4.4,9.2,444,64.6%,28.6,609,1.28,0.45,0.22,0.1,501,10,-60,20%,40%,0,1
843,Savero,CZ ,3,100%,7.8,1.3,1.7,11.7,5.2,342,59.4%,10.7,301,0.99,0.3,0.16,0.32,-274,-13,-171,33.3%,0%,0,-
844,Scarface,DE ,5,20%,1.5,2,3.4,3.2,8,371,55.9%,23.5,486,0.89,0.38,0.15,0.13,-749,-10,-669,0%,20%,0,-
845,Scaryride,RS ,3,33.3%,7.3,0,1,7.3,0.5,207,86.3%,3.4,55,1.59,0.84,0.15,0.36,-848,-9,-524,33.3%,33.3%,0,-
846,Scorth,TR ,2,0%,2,3,3,3,9.7,445,80.8%,35.1,673,1.26,0.34,0.33,0.11,-1052,2,-148,50%,0%,0,-
847,Scout,KR ,2,100%,4.4,5,2.5,6,9.7,472,65.8%,26.2,613,-,-,-,-,-,-,-,-,-,-,-
848,Scripter,SE ,6,0%,1.7,2.8,3.5,3.2,8.8,384,73.7%,28.3,526,0.93,0.28,0.25,0.08,-205,2,-122,33.3%,0%,0,-
849,Scuro,BR ,4,50%,8,0.8,2,15.3,0.4,241,81.2%,9.2,271,2.73,1.8,0.24,0.59,-12,0,4,25%,25%,0,1
850,SeTab,KR ,7,42.9%,1.9,0.6,2.3,3.7,8.1,350,52.9%,28.4,531,1.18,0.39,0.34,0.19,-141,-7,-325,14.3%,14.3%,0,-
851,Seal,NL ,4,50%,3.3,1.5,2.8,7.5,1.3,250,65.1%,14.6,286,3.45,1.5,0.68,0.37,255,0,168,50%,25%,0,-
852,Seaz,AT ,5,20%,2.9,0.2,2.6,7.4,1,223,70.5%,7.3,133,2.93,1.31,0.37,0.38,165,13,345,40%,0%,0,-
853,Sebekx,PL ,2,0%,2.4,6,5,6,7.7,412,61.1%,24.1,770,0.86,0.45,0.07,0.12,-500,-2,-76,0%,0%,0,1
854,Sencux,DK ,4,100%,6.3,3.3,1.5,6.3,8.9,433,68.4%,25.3,570,1.12,0.52,0.1,0.21,492,9,22,25%,0%,0,-
855,Septico1,RO ,4,50%,2.7,3,2.5,3.8,8.2,403,50.1%,25.1,488,1.3,0.43,0.13,0.13,411,8,193,25%,0%,0,2
856,Seranok,VE ,7,14.3%,2.2,1.9,2.7,4.1,7.8,348,72.2%,27.7,530,1.2,0.52,0.15,0.19,-459,2,-60,0%,0%,0,-
857,Serendip,FR ,6,50%,3.4,4,2.7,5,9.1,419,69.6%,27.1,527,1.31,0.6,0.17,0.34,563,13,135,50%,0%,0,-
858,Serin,TR ,2,100%,-,4,0,8,9,429,70.6%,24.5,552,0.85,0.22,0.21,0.09,585,-2,880,0%,0%,0,1
859,Sertuss,DE ,5,60%,6.1,3.2,1.6,6.6,7.7,386,69.8%,26.1,601,1.18,0.41,0.24,0.18,65,1,180,0%,0%,0,1
860,Shadow,AR ,2,100%,21,1.5,1,19.5,0.6,305,88.5%,14.9,488,3.37,1.77,0.4,0.35,1188,2,266,0%,0%,0,-
861,ShadowUS,PL ,2,50%,3,1,4,11,4,303,69.1%,9.7,293,1.7,0.3,0.35,0.32,-868,-7,-344,0%,0%,0,-
862,Shanks,CN ,5,40%,2.9,4.4,2.6,3.2,8.2,397,68.1%,27,587,-,-,-,-,-,-,-,-,-,-,-
863,Shaolin,NO ,2,0%,1.5,2,4,4,7.9,363,81.8%,25.2,478,0.96,0.37,0.18,0.1,-778,4,-509,0%,0%,0,-
864,ShawiKatami,TR ,5,80%,11,0.4,1.2,12.8,0.8,258,64.2%,8.5,192,2.6,1.33,0.32,0.44,-93,-3,-472,20%,0%,0,-
865,Sheiden,PH ,7,42.9%,3.7,5,2.4,4,5.9,362,69.4%,15.9,304,1.03,0.26,0.22,0.28,-170,3,102,28.6%,0%,0,1
866,Sheo,FR ,5,60%,5.3,2,2,8.6,5.2,321,65.6%,13.2,294,1.7,0.27,0.41,0.2,-253,10,312,60%,0%,0,3
867,Shernfire,AU ,2,100%,20,1.5,0.5,8.5,5.7,377,83.3%,13.3,263,1.52,0.23,0.31,0.19,1516,28,1448,50%,0%,0,-
868,Shiganari,LV ,4,25%,1.4,2,3.5,2.8,8.4,373,47%,18.8,298,1.35,0.42,0.32,0.16,-1080,-8,-139,25%,50%,0,-
869,Shinki,AU ,1,0%,0,0,2,0,0.2,182,0%,15.5,182,1.73,1.02,0.13,0.25,-1157,-1,-1168,0%,0%,0,-
870,Shlatan,PL ,4,75%,2.7,1.5,3,6.5,5,317,66.4%,10.5,233,1.34,0.38,0.32,0.38,-150,-13,-319,50%,25%,0,1
871,Shone,RS ,3,0%,0.6,0.3,5.3,2.7,0.8,208,43.3%,11.1,178,1.77,0.96,0.15,0.32,-901,8,-630,0%,33.3%,0,-
872,ShowMaker,KR ,9,77.8%,5.8,2.2,1.4,6.2,8.8,392,62.8%,24.8,522,1.62,0.6,0.35,0.3,-206,-8,-359,0%,22.2%,0,-
873,Shoyo,PT ,2,0%,0.9,0.5,5,4,0.8,201,40.9%,6.7,145,1.73,0.97,0.22,0.26,-1114,-8,-1049,0%,0%,0,-
874,Shu Hari,CL ,2,100%,5.8,1,2,10.5,0.6,252,60.1%,6.7,160,2.42,1.11,0.33,0.36,71,-6,122,0%,0%,0,-
875,Shy Carry,RS ,3,100%,7.2,6.3,1.7,5.7,8.8,478,61.3%,23.5,581,0.95,0.31,0.34,0.07,237,4,-593,0%,0%,0,2
876,Shyelander,ES ,1,0%,6,5,2,7,4.6,318,80%,12.8,297,1.45,0.28,0.31,0.25,883,-13,432,0%,0%,0,-
877,SiddyWiddy,CA ,6,16.7%,2.1,3,4,5.5,5,343,77.2%,16.3,327,1.1,0.3,0.21,0.25,344,2,-82,33.3%,0%,0,-
878,Simpli,FI ,4,50%,4.4,4,2.3,6,7.7,389,73.1%,26.3,512,0.83,0.25,0.18,0.12,-60,-9,150,0%,0%,0,1
879,Simpy,ES ,4,75%,9.2,1,1.5,12.8,1.1,262,91.6%,8.3,205,2.32,1.19,0.39,0.3,-40,-3,-607,25%,25%,0,-
880,Sinmivak,PL ,5,20%,1.9,2.2,2.4,2.4,8.6,396,37.5%,25,427,1.22,0.49,0.17,0.17,247,-2,-158,40%,20%,0,-
881,Sintax,HR ,6,66.7%,3.9,2.2,2.3,7,7.7,351,63.5%,27.7,591,1.15,0.46,0.13,0.13,-623,-17,-204,33.3%,16.7%,0,-
882,Sirinox,CZ ,2,0%,2,3,2,1,8.6,369,71.7%,29.9,545,0.99,0.43,0.16,0.13,-1562,-26,-592,0%,0%,0,-
883,Six10,SE ,2,100%,3.4,6,4,7.5,8.5,445,63.2%,24.2,855,0.56,0.16,0.18,0.09,498,3,206,0%,0%,0,1
884,SkB,BR ,2,50%,5.3,2,2,8.5,8.3,400,69.3%,18,441,1.37,0.58,0.22,0.3,1275,25,1175,50%,0%,0,-
885,Skeanz,FR ,4,25%,1.5,1,4.3,5.3,4.3,284,57.6%,10.8,232,1.57,0.35,0.37,0.34,-606,-8,-369,25%,0%,0,-
886,Sketch,US ,7,14.3%,1.5,2,4.1,4.1,7.5,347,59.6%,23.1,477,0.81,0.35,0.13,0.09,-1002,-15,-308,28.6%,14.3%,0,2
887,SkewMond,FR ,4,25%,2.4,2.5,2.8,4,5.4,324,73.3%,17.6,284,1.7,0.25,0.35,0.24,89,4,8,0%,0%,0,-
888,SkyTec,CA ,6,33.3%,2.5,0.8,4,9,0.5,230,76.8%,8.1,186,2.3,1.19,0.19,0.18,-206,0,-39,0%,16.7%,0,-
