,Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
1062,Worst,PT ,2,50%,3.8,2,2,5.5,9.5,418,60.9%,22.5,521,0.88,0.35,0.08,0.11,810,11,341,100%,0%,0,-
1063,Wunder,DK ,5,40%,1.9,1.4,3,4.2,7.8,352,47.2%,16,401,1.15,0.49,0.12,0.16,-1242,-15,-1038,0%,0%,0,-
1064,Wylenz,FR ,6,66.7%,4.1,2.2,1.8,5.3,8.9,401,53.4%,17.5,365,1.01,0.36,0.16,0.19,440,11,-125,0%,0%,0,-
1065,XERSUS,FR ,6,50%,3.1,0.5,3.2,9.2,1,243,77%,9.1,176,3.05,1.4,0.31,0.32,285,8,-88,0%,16.7%,0,-
1066,XLB,CN ,2,100%,23,1.5,0.5,10,4.6,323,65%,9.7,214,-,-,-,-,-,-,-,-,-,-,-
1067,XUN,CN ,6,50%,2.7,1.8,3.8,8.5,4.9,326,70.9%,10.2,240,-,-,-,-,-,-,-,-,-,-,-
1068,Xeltop,FR ,2,50%,5.3,2.5,1.5,5.5,9,382,90.9%,24.3,459,0.99,0.35,0.14,0.11,122,-6,-25,50%,0%,0,-
1069,Xerxe,RO ,5,20%,2.4,1.8,3.2,5.8,4.9,304,67.2%,13.6,339,1.42,0.28,0.38,0.24,-72,4,-98,60%,0%,0,-
1070,Xiaohao,CN ,4,0%,1.9,2.3,3.5,4.3,6,335,84.5%,21.1,444,-,-,-,-,-,-,-,-,-,-,-
1071,Xiaolaohu,CN ,6,33.3%,2.1,1.5,2.7,4,8.3,370,40.5%,20.7,394,-,-,-,-,-,-,-,-,-,-,-
1072,Xiaoxu,CN ,3,33.3%,1.8,1.7,2.7,3,7.9,373,31.7%,17.9,318,-,-,-,-,-,-,-,-,-,-,-
1073,Xico,PT ,5,80%,4.3,3.4,1.8,4.4,9.4,445,66.1%,30.6,612,1.25,0.52,0.26,0.15,440,7,137,0%,0%,0,-
1074,XinLiu,CN ,2,0%,3.4,1,2.5,7.5,0.6,221,82.1%,15.9,337,-,-,-,-,-,-,-,-,-,-,-
1075,XoNix,UA ,2,100%,8,5,1.5,7,8.2,405,60.9%,30.2,802,1.41,0.42,0.18,0.14,-8,15,662,0%,0%,0,-
1076,YSKM,HK ,4,100%,5,6.3,2.5,6.3,8,433,55.6%,23.1,612,-,-,-,-,-,-,-,-,-,-,-
1077,Yagao,CN ,6,50%,2.7,3.2,3.5,6.2,7.8,379,66.3%,22.8,534,-,-,-,-,-,-,-,-,-,-,-
1078,Yakkey,RO ,2,100%,26,7.5,0.5,5.5,10,503,78.3%,27.6,616,1.27,0.46,0.41,0.18,637,2,-430,50%,0%,0,-
1079,Yampi,BR ,4,50%,5.1,3.3,2.5,9.5,5.9,380,75.4%,18.3,441,1.58,0.34,0.35,0.29,66,4,47,0%,25%,0,-
1080,Yanjee,PT ,2,50%,5.2,3.5,2.5,9.5,5.6,356,78.3%,19.6,446,1.66,0.37,0.32,0.42,482,10,474,50%,0%,0,-
1081,Yeon,US ,2,0%,2.8,4,2.5,3,9.6,421,52.5%,31.1,778,1.55,0.46,0.38,0.18,546,10,402,50%,0%,0,-
1082,Yike,SE ,5,80%,6.5,7.2,2,5.8,7.9,496,69.8%,22.4,559,2.04,0.59,0.51,0.27,1737,26,1138,20%,40%,0,4
1083,Young,US ,9,33.3%,2.3,4.2,3.7,4.1,8.6,401,60.7%,26.6,565,0.86,0.3,0.16,0.07,-481,-4,-138,0%,0%,0,4
1084,YoungJae,KR ,9,11.1%,2.5,1.8,2.2,3.7,5.3,301,73.8%,13.9,274,1.78,0.43,0.53,0.43,18,8,190,0%,11.1%,0,2
1085,Yuhi,JP ,3,33.3%,4,1.7,1.7,5,8.6,399,51.7%,16.5,363,1.4,0.51,0.34,0.17,735,9,296,33.3%,0%,0,-
1086,Yukino,US ,7,57.1%,3.5,3.1,3.6,9.3,5.1,346,65.2%,14,358,1.36,0.26,0.32,0.24,276,2,-232,71.4%,0%,0,1
1087,Yupps,BR ,2,50%,2.4,3.5,4.5,7.5,7.6,388,44.9%,15.9,504,1.11,0.31,0.19,0.2,318,8,344,0%,0%,0,-
1088,Yuri,KR ,4,50%,2.3,4.8,5.3,7.5,8,406,62.4%,24.4,708,1.46,0.29,0.36,0.16,326,14,362,25%,25%,0,1
1089,Yutapon,JP ,2,0%,1,1.5,3,1.5,9,381,72.2%,29.2,577,0.94,0.17,0.35,0.03,-192,-4,631,0%,50%,0,-
1090,Yuuji,MN ,6,83.3%,7.1,3.3,1.8,9.7,4.8,347,65.5%,13.9,378,1.65,0.3,0.41,0.29,-281,-8,-452,16.7%,0%,0,-
1091,ZaZee,DE ,4,0%,1.5,1.8,3.3,3,8.9,376,57.1%,28.9,545,0.98,0.42,0.14,0.12,-82,-4,196,25%,0%,0,1
1092,Zamulek,PL ,4,25%,2.8,4,3,4.5,8.6,402,78.1%,28.7,637,1.41,0.46,0.2,0.14,-187,-3,-788,50%,25%,0,-
1093,Zanzarah,RU ,4,100%,4.5,2.5,2.8,10,5.7,348,75.4%,14.7,412,1.26,0.33,0.29,0.26,-100,3,-216,0%,25%,0,1
1094,Zaremba,PL ,6,50%,7.3,0.5,1.8,12.8,0.6,252,78.2%,12.6,299,2.93,1.69,0.31,0.36,-262,-19,-551,33.3%,0%,0,-
1095,Zdz,CN ,4,0%,1,1.8,5.3,3.3,7.6,334,45.7%,23.8,500,-,-,-,-,-,-,-,-,-,-,-
1096,Zeka,KR ,10,40%,3.3,2.8,1.8,3.1,9.9,414,54.6%,25,553,1.3,0.38,0.27,0.17,3,4,286,10%,10%,0,7
1097,Zerito,AR ,2,100%,5.7,2,1.5,6.5,7.5,376,70.1%,16.1,387,0.75,0.41,0.09,0.22,-124,-12,68,50%,0%,0,-
1098,Zest,KR ,6,16.7%,2.2,2.2,2.8,4.2,8,376,70.3%,21.5,380,0.81,0.24,0.2,0.08,-360,-8,-288,16.7%,0%,0,-
1099,Zeus,KR ,10,80%,3.9,2.6,1.9,4.8,9,425,52.7%,21.4,494,1.22,0.48,0.17,0.25,483,12,278,30%,20%,0,3
1100,Zeyzal,US ,6,83.3%,13,1.2,0.8,9.7,0.8,275,64.7%,8.8,227,2.84,1.37,0.36,0.33,595,4,551,16.7%,0%,0,-
1101,Zhergoth,NL ,2,100%,5.2,6.5,2.5,6.5,8.5,450,54.9%,24.3,642,1.07,0.45,0.24,0.17,1755,30,1868,50%,50%,0,6
1102,Zhuo,CN ,2,100%,-,1,0,14,0.1,268,90.5%,15.6,342,-,-,-,-,-,-,-,-,-,-,-
1103,Zicssi,FR ,1,100%,7,4,2,10,5.5,376,77.8%,23.1,572,3.46,0.98,0.69,0.2,-793,2,-23,100%,0%,0,-
1104,Zika,CN ,2,100%,6.3,4,1.5,5.5,9.3,437,58.3%,23.1,520,-,-,-,-,-,-,-,-,-,-,-
1105,Zimba,FI ,6,0%,2.4,0.7,2.5,5.3,0.6,211,75.3%,13.2,249,2,1,0.21,0.21,-170,-8,-126,50%,0%,0,-
1106,Zoelys,FR ,4,100%,10,1.5,1.3,11,1,269,77.6%,14,332,2.65,1.3,0.41,0.36,459,2,280,50%,0%,0,-
1107,Zorac,BE ,2,50%,2.9,4.5,4,7,8.5,441,61.4%,23.4,592,0.75,0.37,0.06,0.09,-548,7,-379,0%,50%,0,1
1108,Zothve,CL ,2,0%,0.3,0.5,3.5,0.5,8,310,66.7%,26.9,384,0.77,0.38,0.1,0.16,-443,-4,-92,0%,50%,0,-
1109,Zubac,CZ ,1,0%,0.5,0,4,2,5,261,66.7%,9.2,144,0.91,0.21,0.12,0.17,-824,-7,-193,0%,0%,0,-
1110,Zven,DK ,2,100%,17,1,1,16,0.9,288,69.7%,11.4,357,3.06,1.19,0.45,0.22,243,2,332,0%,0%,0,-
1111,Zwyroo,PL ,5,60%,3.2,3.4,2.6,5,9.3,427,55.1%,23.2,527,1.46,0.46,0.26,0.23,354,2,-35,20%,20%,0,-
1112,Zzk,KR ,4,50%,3.9,3.5,2.5,6.3,7.6,391,52.6%,19.5,485,1.04,0.29,0.25,0.2,546,8,236,0%,0%,0,2
1113,accez,BR ,4,50%,1.5,2.3,5.5,6.3,4.8,303,70%,13.9,296,1.88,0.65,0.54,0.39,-243,2,-108,50%,0%,0,-
1114,anato,BR ,2,50%,4.7,1.5,3.5,15,4.6,325,68.5%,20.4,639,1.63,0.37,0.33,0.38,-90,16,253,50%,0%,0,-
1115,behave,PL ,5,80%,4.3,3.2,3,9.8,5.2,360,63.7%,15.5,410,1.03,0.25,0.21,0.18,163,8,536,40%,20%,0,1
1116,bluerzor,HU ,5,60%,4.6,2.8,2.4,8.2,4.9,339,73.4%,17.5,385,1.46,0.37,0.33,0.34,63,-10,-356,40%,0%,0,-
1117,bmj,RU ,1,100%,4,1,2,7,6.8,335,66.7%,20.1,538,1,0.36,0.08,0.11,-883,13,-432,0%,0%,0,-
1118,bobista,CZ ,1,100%,-,4,0,6,9.5,458,55.6%,28.2,504,0.59,0.28,0.03,0,732,14,712,0%,0%,0,-
1119,chef,TR ,2,0%,3.7,2.5,1.5,3,5.3,308,93.8%,23.1,439,0.87,0.19,0.19,0.16,244,-4,632,50%,0%,0,-
1120,choego,PL ,3,33.3%,1.9,2,2.3,2.3,8.6,374,51.6%,19,356,1.05,0.41,0.23,0.14,-333,-3,278,33.3%,0%,0,1
1121,cody,CL ,2,100%,4.6,1.5,2.5,10,8.2,377,58.6%,16,450,1.55,0.64,0.1,0.28,744,4,204,50%,0%,0,-
1122,cyraXx,LV ,2,0%,0.4,1,4,0.5,8.5,356,75%,22.7,337,0.77,0.28,0.19,0.07,-210,-4,104,0%,0%,0,-
1123,czypsy,PL ,5,80%,5,1.6,3,13.4,0.9,272,73.8%,9.2,258,2.65,1.42,0.24,0.4,29,-4,289,40%,0%,0,1
1124,de sidere,MK ,2,50%,3.4,3,3.5,9,4.3,304,76.3%,12.6,316,1.58,0.3,0.39,0.3,-1375,-12,-790,50%,0%,0,-
1125,defflok,CZ ,1,0%,0.5,1,4,1,9.2,373,50%,25.7,432,1.18,0.31,0.24,0.03,-827,-3,-503,0%,0%,0,-
1126,deokdam,KR ,9,33.3%,1.7,2.2,3.1,3.1,9.3,404,55.9%,22.7,507,1.4,0.46,0.4,0.18,-396,-3,-250,11.1%,22.2%,0,-
1127,destroy,KR ,2,100%,3.8,3.5,2,4,10.1,484,37.4%,27.3,647,1.43,0.34,0.37,0.15,1054,6,204,0%,0%,0,1
1128,dresscode,JP ,2,0%,2.6,5,4,5.5,8.8,431,88.1%,26.6,615,1.35,0.45,0.43,0.29,-164,-19,136,50%,0%,0,-
1129,dyNquedo,BR ,4,25%,2,2.8,3,3.3,7.9,342,74.4%,26.2,532,1.08,0.47,0.16,0.34,-70,-3,6,0%,0%,0,-
1130,eXyu,US ,6,66.7%,3.9,2.8,2.3,6.3,4.9,330,72.2%,15.6,410,1.92,0.65,0.4,0.26,-25,-2,12,66.7%,0%,0,2
1131,eaRyz,FR ,6,50%,3.1,2.3,3,6.8,4.6,314,85.6%,13.8,256,1.39,0.44,0.27,0.37,174,2,114,50%,0%,0,-
1132,eastgoblin,NL ,2,50%,3.3,0.5,3,9.5,0.9,225,73.3%,4.3,96,2.6,1.42,0.17,0.39,218,-1,-752,100%,0%,0,-
1133,enel1,BR ,2,50%,4.2,5.5,2.5,5,6,367,65.6%,16.4,367,1.79,0.32,0.4,0.32,468,-2,-176,0%,0%,0,1
1134,fNb,BR ,4,50%,2.7,1.8,2.5,5,8.7,411,47.5%,22.3,454,1.16,0.58,0.19,0.26,539,4,707,25%,0%,0,2
1135,fabFabulous,TR ,2,0%,0.5,0.5,4,1.5,8.7,366,15.4%,22.8,442,1.14,0.42,0.27,0.13,-577,8,-26,50%,0%,0,-
1136,fighto,RU ,1,0%,0.5,1,2,0,9.7,362,100%,32,375,0.8,0.38,0.21,0.04,-574,19,955,0%,0%,0,-
1137,fjoompbun,SE ,2,0%,0.4,0.5,6,2,8.3,338,22.7%,20.9,415,0.74,0.32,0.14,0.02,-1556,5,-812,0%,100%,0,-
1138,goldento4st,MK ,2,100%,7,6.5,1.5,4,8.2,428,63.6%,27.7,788,1.19,0.45,0.33,0.15,-540,-0,-56,50%,0%,0,-
1139,hainess,PL ,1,0%,1.4,3,5,4,4.3,287,58.3%,10.6,230,1.14,0.29,0.47,0.29,793,-2,23,0%,0%,0,-
1140,haoye,CN ,6,33.3%,2.7,2.3,3,5.7,5.1,333,75.5%,14.6,279,-,-,-,-,-,-,-,-,-,-,-
1141,hetel,JP ,2,0%,2.6,0.5,4,10,0.3,210,88.1%,7.1,164,2.02,1.26,0.14,0.47,-314,6,-466,50%,0%,0,-
1142,huanfeng,CN ,2,0%,5.5,0.5,1,5,10,388,53.6%,16.7,335,-,-,-,-,-,-,-,-,-,-,-
1143,iBo,PL ,5,60%,3.5,3.2,2.2,4.6,8.8,414,49.6%,25.6,578,1.46,0.49,0.27,0.19,604,11,558,40%,0%,0,3
1144,iLevi,AL ,2,100%,3.7,1.5,3.5,11.5,1.5,261,78.5%,6.2,173,3.92,2.01,0.53,0.45,-270,9,126,50%,0%,0,-
1145,invincible,CN ,2,100%,9,2.5,1,6.5,9.3,481,50.2%,29.6,652,-,-,-,-,-,-,-,-,-,-,-
1146,jactroll,PL ,4,75%,6.5,1.3,2.5,15,1.1,247,84.9%,7.2,171,2.99,1.66,0.33,0.22,380,10,500,50%,0%,0,-
1147,jbdutchowns,NL ,2,50%,7,5.5,1.5,5,8.3,441,75.4%,34.9,743,1.11,0.42,0.2,0.1,406,3,126,0%,0%,0,-
1148,jinjiao,CN ,3,33.3%,5.3,0.7,1.3,6.3,1,243,68%,21.1,372,-,-,-,-,-,-,-,-,-,-,-
1149,jojopyun,CA ,2,50%,1.3,2.5,6,5,8.9,392,52.8%,26.6,635,1.01,0.22,0.22,0.16,273,20,263,0%,0%,0,1
1150,jokaa,DE ,4,25%,1.7,2.5,4.3,4.8,6,330,65.1%,18,346,0.95,0.14,0.26,0.13,20,6,245,0%,0%,0,-
1151,kamilius,SK ,4,50%,5.9,0.5,2.5,14.3,0.7,226,91.7%,8.2,189,2.66,1.38,0.3,0.34,-226,0,4,50%,0%,0,-
1152,kaylem,RO ,4,25%,1.3,1,2.5,2.3,7.8,358,62.5%,25,345,0.94,0.32,0.23,0.09,-609,-16,-436,25%,0%,0,3
1153,kingen,KR ,10,40%,1.2,1.5,2.9,2.1,8.2,381,43.2%,18.8,412,1.04,0.4,0.15,0.26,-295,-6,-135,10%,20%,0,2
1154,kingggggg,SI ,3,66.7%,7,4,1.7,7.7,5.5,384,65.6%,25.4,531,1.21,0.22,0.26,0.19,1822,23,1054,33.3%,0%,0,-
1155,kksh,BR ,2,50%,8.3,10,2,6.5,8.7,485,69.3%,21.1,659,1.37,0.38,0.3,0.16,1628,18,964,50%,0%,1,-
1156,klowny,RS ,3,66.7%,3.5,2.3,2,4.7,6.7,345,43.7%,21.6,488,0.84,0.41,0.12,0.12,694,2,350,33.3%,0%,0,3
1157,lee sang,PL ,5,0%,2.1,3,3.4,4,8.5,388,80.2%,28.1,505,0.93,0.27,0.16,0.14,365,-6,-70,40%,0%,0,-
1158,leemas,TR ,2,0%,2.1,3.5,3.5,4,8.7,414,65.5%,25.1,552,1.1,0.36,0.25,0.09,-210,7,542,0%,50%,0,-
1159,lunacia,US ,7,14.3%,1.3,2.3,3.3,2.1,7.3,346,35.4%,24.5,471,0.54,0.24,0.08,0.04,-426,-13,-260,14.3%,0%,0,2
1160,many,PL ,5,60%,6.2,2.4,1,3.8,9.2,397,57.5%,28.6,526,1.23,0.4,0.13,0.11,116,10,257,0%,0%,0,1
1161,marlon,PL ,5,60%,3.4,1.2,3,9,0.5,237,71.9%,9.4,200,2.41,1.45,0.17,0.41,-210,-13,-133,40%,0%,0,-
1162,meiko,CN ,2,100%,3.3,2.5,3,7.5,0.7,277,59.3%,11.3,212,-,-,-,-,-,-,-,-,-,-,-
1163,mfis,,2,0%,1,0.5,2,1.5,8,324,50%,21.5,366,0.54,0.31,0.08,0.15,-902,-12,-528,0%,0%,0,-
1164,micaO,BR ,4,25%,2.4,2.5,3.3,5.3,8.8,398,57.8%,32.4,688,1.1,0.41,0.27,0.13,717,14,730,0%,0%,0,-
1165,midali,TR ,2,0%,2,1.5,1,0.5,8.3,332,37.5%,21.2,412,0.93,0.47,0.1,0.16,-292,-22,-484,0%,0%,0,-
1166,mihai,RO ,4,25%,2.9,5,2,0.8,9.8,452,89.1%,31.4,538,1.01,0.3,0.26,0.02,-149,-0,-379,0%,25%,1,-
1167,minemaciek,PL ,5,60%,2,0.2,2.8,5.4,1,216,59.5%,4.9,86,2.59,1.31,0.35,0.37,-577,8,-830,0%,40%,0,-
1168,miya,US ,6,16.7%,1.4,3.7,4.5,2.8,7.6,369,51.9%,24.2,509,0.6,0.28,0.13,0.04,-631,-19,-550,0%,16.7%,0,2
1169,mumek,PL ,2,100%,10,7,1.5,8,8.9,452,79.6%,28.3,718,1.81,0.38,0.51,0.19,342,-10,-1004,0%,0%,0,-
1170,neny,CN ,2,100%,3.6,3.5,4,11,8.6,430,61.8%,23.5,721,-,-,-,-,-,-,-,-,-,-,-
1171,neyzz,BR ,2,50%,3.4,4,3.5,8,6.4,339,72.8%,20.2,458,1.21,0.51,0.28,0.28,-578,-24,-710,0%,50%,0,2
1172,noname,GB ,2,50%,2.7,1,3,7,4.9,298,66.7%,9.9,201,1.18,0.36,0.26,0.23,-222,-8,-206,0%,50%,0,-
1173,nuc,FR ,5,60%,5.8,5.2,1.8,5.2,7.7,383,63%,22.8,498,1.11,0.25,0.28,0.17,87,5,101,20%,0%,0,-
1174,odi11,PL ,5,0%,3,3.2,2.4,4,9.6,412,50.8%,28.4,623,1.12,0.34,0.37,0.15,-80,-3,-611,20%,0%,0,-
1175,ordno,CZ ,1,100%,8,1,1,7,8.2,384,57.1%,24.8,673,0.7,0.25,0.12,0.12,-30,1,-98,0%,0%,0,-
1176,pocok,AT ,3,33.3%,2.4,3,2.7,3.3,6.9,394,95.2%,19.8,359,1.76,0.49,0.47,0.23,693,17,703,33.3%,0%,0,1
1177,pr1me,TR ,5,80%,3.3,6,3,4,8.2,444,56%,24.4,596,0.81,0.31,0.09,0.06,285,6,174,40%,0%,0,4
1178,reedfoo,CZ ,1,100%,9,5,1,4,7.9,408,75%,28.4,762,2.26,0.28,0.81,0.25,-409,-24,369,0%,0%,0,-
1179,rnz,PT ,2,0%,2.3,3.5,4,5.5,5.7,339,74.3%,16.1,326,1.37,0.26,0.38,0.23,172,16,248,0%,0%,0,-
1180,robocop,CZ ,1,100%,7,4,2,10,7.2,367,77.8%,19.4,482,1.32,0.6,0.16,0.22,-142,-5,-190,0%,0%,0,-
1181,rocks908,US ,3,66.7%,3.6,0.7,3,10,0.9,242,66.2%,9.1,201,2.67,1.36,0.31,0.28,-108,3,-643,33.3%,33.3%,0,-
1182,scamber,BR ,2,100%,3.8,0.5,2.5,9,0.3,244,73.3%,10.6,263,2.89,1.76,0.15,0.56,132,3,352,50%,0%,0,-
1183,scary,BR ,4,50%,3.6,2.5,4,11.8,4.8,327,71.8%,9.1,269,1.75,0.37,0.43,0.41,185,0,203,25%,0%,0,-
1184,shanji,CN ,2,0%,1.3,2.5,4.5,3.5,7.7,369,79.4%,29.8,603,-,-,-,-,-,-,-,-,-,-,-
1185,sheru,PL ,5,40%,2.1,1.2,3,5,6.8,356,51.4%,21.2,401,1.04,0.39,0.13,0.1,-11,-1,-233,0%,20%,0,1
1186,shochi,US ,7,71.4%,5.1,4.3,2.4,8.1,7.5,403,57.7%,28.1,712,1.33,0.33,0.19,0.12,266,-1,-2,28.6%,0%,0,2
1187,solo,US ,2,100%,6.7,0.5,1.5,9.5,7.4,340,66.4%,15.8,423,0.84,0.33,0.12,0.08,-1421,-26,-402,0%,0%,0,1
1188,ssumday,KR ,2,50%,1.6,2.5,4,4,8,379,44.4%,16.5,393,1.64,0.54,0.35,0.27,926,14,874,0%,0%,0,-
1189,stanik,CZ ,1,0%,1,1,2,1,7.7,338,66.7%,26.6,419,0.87,0.33,0.08,0.12,30,-1,98,0%,0%,0,-
1190,sumi,NL ,2,0%,1.1,2.5,5.5,3.5,8.3,351,46.9%,22.1,443,1.27,0.39,0.21,0.1,-654,-6,-149,0%,0%,0,-
1191,svns,PL ,3,66.7%,5.6,4.7,1.7,4.7,8.4,428,90.5%,30.2,567,1.14,0.44,0.24,0.17,-866,-2,208,0%,0%,0,-
1192,tol2,JP ,2,0%,0.9,2,3.5,1,7.7,349,33.3%,25.4,495,1.03,0.37,0.2,0.17,109,-3,-58,0%,50%,0,-
1193,trilan,PL ,5,40%,1.6,1,3,3.8,8.1,360,34.3%,21.1,394,1.12,0.31,0.23,0.06,-971,-28,-924,0%,20%,0,2
1194,twohoyrz,BG ,4,75%,3.8,5,3,6.5,8.2,400,72.5%,27.3,619,1.04,0.45,0.17,0.14,-442,-1,-370,25%,0%,0,-
1195,unexpected,DE ,2,0%,3.8,1.5,2.5,8,6.5,314,82.4%,21.7,414,1.24,0.25,0.27,0.19,-520,-24,-467,0%,0%,0,-
1196,uroskg,RS ,3,0%,1.1,1.3,4.3,3.3,5,292,85.6%,14,225,0.84,0.28,0.15,0.26,-25,-1,-297,33.3%,0%,0,-
1197,v1SaG3,BG ,3,66.7%,2.1,3,3,3.3,7,375,45.4%,16.6,371,1.11,0.36,0.19,0.09,-449,0,-489,0%,0%,1,-
1198,whiteinn,RO ,4,25%,2.7,0.5,3.3,8.3,0.3,220,78.5%,10.8,233,1.99,1.07,0.15,0.26,-225,-9,-364,0%,0%,0,-
1199,winnie,CA ,6,33.3%,2.1,2.3,4.5,7.3,5.2,316,64.2%,12.1,280,1.36,0.16,0.34,0.15,-425,1,95,16.7%,33.3%,0,-
1200,xeonerr,PL ,5,0%,1.2,1.2,2.6,1.8,5.3,301,61%,17.2,282,1.5,0.21,0.36,0.18,-457,3,-644,20%,20%,0,-
1201,xiaohu,CN ,3,66.7%,4.8,2.7,1.3,3.7,9,405,55.3%,22,459,-,-,-,-,-,-,-,-,-,-,-
1202,xmatty,GB ,4,50%,2.7,1.5,3,6.5,8.6,388,68.9%,28.4,641,0.95,0.33,0.21,0.11,-1138,-20,-1128,50%,0%,0,-
1203,yazi,BR ,2,50%,5.3,2,1.5,6,9.3,418,60%,28.4,649,1.13,0.43,0.28,0.22,-533,-22,-762,50%,50%,0,-
1204,yoHan,KR ,2,100%,9.3,3.5,1.5,10.5,6.7,388,89.9%,15.5,285,1.66,0.28,0.37,0.26,1199,16,592,50%,0%,0,1
1205,zay,BR ,4,75%,5.6,1,2,10.3,0.6,245,69.6%,10.3,248,3.18,1.82,0.37,0.58,-152,-0,-3,25%,0%,0,-
1206,zorenous,AU ,2,100%,8,2.5,1,5.5,8.2,397,47.7%,18.8,401,1.54,0.44,0.17,0.13,187,2,-147,0%,0%,0,2
