,team_red,result_red,ban_0_red,ban_1_red,ban_2_red,ban_3_red,ban_4_red,pick_0_red,pick_1_red,pick_2_red,pick_3_red,pick_4_red,kills_red,towers_red,dragons_red,barons_red,player_0_red,kda_0_red,csM_0_red,dpM_0_red,wpM_0_red,player_1_red,kda_1_red,csM_1_red,dpM_1_red,wpM_1_red,player_2_red,kda_2_red,csM_2_red,dpM_2_red,wpM_2_red,player_3_red,kda_3_red,csM_3_red,dpM_3_red,wpM_3_red,player_4_red,kda_4_red,csM_4_red,dpM_4_red,wpM_4_red,team_blue,result_blue,ban_0_blue,ban_1_blue,ban_2_blue,ban_3_blue,ban_4_blue,pick_0_blue,pick_1_blue,pick_2_blue,pick_3_blue,pick_4_blue,kills_blue,towers_blue,dragons_blue,barons_blue,player_0_blue,kda_0_blue,csM_0_blue,dpM_0_blue,wpM_0_blue,player_1_blue,kda_1_blue,csM_1_blue,dpM_1_blue,wpM_1_blue,player_2_blue,kda_2_blue,csM_2_blue,dpM_2_blue,wpM_2_blue,player_3_blue,kda_3_blue,csM_3_blue,dpM_3_blue,wpM_3_blue,player_4_blue,kda_4_blue,csM_4_blue,dpM_4_blue,wpM_4_blue,match_duration,player_5_red,kda_5_red,csM_5_red,dpM_5_red,wpM_5_red,player_5_blue,kda_5_blue,csM_5_blue,dpM_5_blue,wpM_5_blue
0,Guasones,LOSS,KSante,Varus,Nami,Ornn,Ahri,Jayce,Maokai,Syndra,Caitlyn,Lux,8,4,3,1,Dreedy,0.67,8.7,458,0.54,Akre,2.0,5.5,714,0.02,Hydra,1.2,7.3,323,0.54,odi11,1.33,9.9,338,0.31,Nio,3.5,0.7,191,1.80,Barça eSports,WIN,Fiora,Yuumi,Ryze,Yone,Yasuo,Gnar,Vi,Viktor,Sivir,Heimerdinger,16,11,4,1,Whiteknight,8.0,7.5,259,0.49,Hadess,6.0,5.4,286,0.40,Sajator,3.5,8.9,683,0.43,Deadly,9.0,11.9,442,0.40,Efias,1.33,0.8,276,1.84,00:44:32,,,,,,,,,,
0,UCAM Tokiers,LOSS,Yuumi,Wukong,Syndra,Akali,Gangplank,Jax,Skarner,Viktor,Varus,Karma,8,0,0,0,Doxy,0.4,7.9,192,0.39,Mart,1.0,5.2,117,0.39,Hatrixx,2.33,8.6,773,0.31,Rafitta,1.0,8.5,336,0.27,Kadir,1.67,0.8,90,1.09,Heretics Academy,WIN,Heimerdinger,Ryze,Camille,Vi,Sejuani,Jayce,Maokai,Azir,Zeri,Nautilus,21,10,3,1,iBo,12.0,9.2,776,0.50,bluerzor,8.0,5.3,514,0.23,Zwyroo,9.0,10.3,409,0.54,Flakked,15.0,8.7,501,0.50,marlon,2.5,0.9,137,1.24,00:25:45,,,,,,,,,,
0,KOI Academy,LOSS,Maokai,Nami,Ryze,Poppy,Wukong,Gnar,Vi,Sylas,Zeri,Yuumi,12,4,3,1,Sinmivak,1.5,7.5,458,0.52,Koldo,1.5,5.0,174,0.45,Baca,2.0,8.3,547,0.40,Lucker,6.0,9.5,838,0.25,Seaz,9.0,0.2,228,1.19,BISONS ECLUB,WIN,Caitlyn,Heimerdinger,Syndra,Jayce,Gangplank,KSante,Sejuani,Azir,Varus,Karma,14,9,2,1,Myrwn,4.67,7.2,484,0.35,D4nKa,12.0,4.3,285,0.35,Random,2.0,8.3,686,0.40,Legolas,6.0,9.9,1001,0.22,Oscure,6.5,0.5,175,1.66,00:40:22,,,,,,,,,,
0,Movistar Riders,WIN,Maokai,Heimerdinger,Syndra,Karma,Gangplank,Gnar,Wukong,Ryze,Xayah,Braum,19,11,4,2,Marky,6.0,8.7,498,0.40,Isma,7.0,5.4,300,0.33,Fresskowy,9.0,11.3,347,0.40,Supa,14.0,9.9,535,0.40,Alvaro,4.25,1.0,181,1.34,Giants,LOSS,Zeri,XinZhao,Sejuani,Rakan,RenataGlasc,Jayce,Vi,Azir,Varus,Nautilus,6,2,0,0,Scarface,0.33,7.8,523,0.40,Alby,0.33,4.3,105,0.17,Decay,3.0,11.3,540,0.47,Attila,4.0,9.8,685,0.47,Stend,0.62,1.3,145,1.64,00:29:56,,,,,,,,,,
0,Illuminar Gaming,LOSS,Maokai,Karma,Nami,Lissandra,Vladimir,Camille,Sejuani,Yone,Ashe,RenataGlasc,9,2,0,0,PolskiKoz,0.8,6.3,352,0.28,Krysia,2.0,4.3,131,0.37,Mrozku,2.5,11.0,463,0.40,Lothen,1.0,7.0,374,0.25,Syrpy,5.0,1.6,88,1.29,Goskilla,WIN,Wukong,Yuumi,Sylas,Lux,MissFortune,Gnar,Vi,Viktor,Varus,Heimerdinger,16,10,5,1,Hiro1,2.67,7.3,562,0.43,ShadowUS,3.0,4.6,184,0.28,Roison,10.0,8.4,614,0.40,Neramin,13.0,8.1,753,0.34,czypsy,6.5,1.2,434,1.47,00:32:33,,,,,,,,,,
0,Zero Tenacity,WIN,KSante,Wukong,Heimerdinger,Nautilus,Karma,Fiora,Vi,Lissandra,Zeri,Yuumi,11,7,0,0,Color,1.0,8.6,495,0.38,Ryuzaki,5.0,5.9,193,0.11,SlowQ,5.0,8.9,311,0.49,Noah,10.0,10.2,465,0.44,Kabbie,10.0,0.2,291,0.76,Iron Wolves,LOSS,Lucian,Varus,Sylas,Gangplank,Azir,Ornn,Maokai,Ryze,Jinx,Rell,2,0,2,0,Gabbo,2.0,7.0,284,0.38,Badlyyga,0.0,5.1,292,0.05,Saulius,0.5,8.5,273,0.44,Adison,0.0,8.4,216,0.27,Only31,0.25,1.7,133,0.87,00:18:19,,,,,,,,,,
0,Komil & Friends,LOSS,Udyr,Fiora,Lucian,Gangplank,Diana,Nasus,Wukong,Corki,Xayah,Rakan,5,4,3,0,Makony,1.5,8.4,323,0.27,Ketim,5.0,4.8,213,0.40,lee sang,2.5,10.8,812,0.53,MIK0,0.67,6.6,418,0.30,Catra,0.67,1.0,122,1.17,Team ESCA Gaming,WIN,Jax,Gragas,Maokai,Sylas,Syndra,Ornn,Viego,Seraphine,Varus,Karma,14,11,1,2,sheru,9.0,7.4,517,0.40,Uciu,10.0,5.8,348,0.27,trilan,5.0,9.0,679,0.37,Mis,10.0,8.9,482,0.23,Gerro,11.0,0.8,305,1.00,00:29:59,,,,,,,,,,
0,Exeed Poland,LOSS,Syndra,Ryze,Wukong,Nautilus,Lulu,Jayce,Maokai,Viktor,Lucian,Nami,3,3,0,0,Jaqen,0.33,9.0,244,0.39,xeonerr,1.0,5.6,321,0.13,Ribu,0.25,7.1,431,0.30,Damkex,1.0,9.4,387,0.33,Slipper,1.0,0.5,132,1.25,Alior Bank Team,WIN,Fiora,Olaf,Zeri,Jax,Darius,KSante,XinZhao,Azir,Varus,Leona,13,9,4,1,Ariana,6.0,9.4,203,0.23,Krazler,5.5,6.4,437,0.33,many,8.0,10.1,604,0.46,Jacob1,7.0,7.6,613,0.23,minemaciek,7.0,1.2,98,1.28,00:30:29,,,,,,,,,,
0,Grypciocraft Esports,WIN,Nami,Heimerdinger,KSante,Renekton,Vi,Fiora,Wukong,Ryze,Zeri,Alistar,21,10,3,2,pr1me,3.0,7.9,510,0.20,behave,8.5,5.6,431,0.37,Frygo,17.0,9.8,705,0.44,Avra,10.0,10.8,466,0.44,ShawiKatami,6.5,1.0,140,1.21,Forsaken,LOSS,Yone,Sylas,Sejuani,Lulu,Akali,Gnar,Maokai,Syndra,Sivir,Yuumi,8,3,1,0,PapiTeero,0.2,7.6,381,0.30,Jaunutis1,1.75,5.2,522,0.37,FENZ1,1.2,8.6,651,0.40,Ruf,1.0,9.8,601,0.44,Gaarfield,2.0,0.3,277,1.00,00:29:52,,,,,,,,,,
0,Team ESCA Gaming,WIN,Azir,Ryze,Maokai,KSante,Syndra,Sejuani,Udyr,Lux,Varus,Lulu,18,11,5,1,sheru,2.33,5.0,262,0.45,Uciu,10.0,6.1,315,0.15,trilan,7.0,8.9,486,0.39,Mis,17.0,10.7,528,0.27,Gerro,17.0,0.5,137,1.16,Alior Bank Team,LOSS,Karma,Seraphine,Yuumi,Ornn,Sion,Aatrox,Wukong,Viktor,Lucian,Nami,5,4,0,1,Ariana,1.0,7.9,264,0.27,Krazler,1.0,6.5,403,0.48,many,0.0,8.2,359,0.39,Jacob1,0.29,8.3,344,0.24,minemaciek,0.5,0.6,83,1.34,00:33:37,,,,,,,,,,
