,team_red,result_red,ban_0_red,ban_1_red,ban_2_red,ban_3_red,ban_4_red,pick_0_red,pick_1_red,pick_2_red,pick_3_red,pick_4_red,kills_red,towers_red,dragons_red,barons_red,player_0_red,kda_0_red,csM_0_red,dpM_0_red,wpM_0_red,player_1_red,kda_1_red,csM_1_red,dpM_1_red,wpM_1_red,player_2_red,kda_2_red,csM_2_red,dpM_2_red,wpM_2_red,player_3_red,kda_3_red,csM_3_red,dpM_3_red,wpM_3_red,player_4_red,kda_4_red,csM_4_red,dpM_4_red,wpM_4_red,team_blue,result_blue,ban_0_blue,ban_1_blue,ban_2_blue,ban_3_blue,ban_4_blue,pick_0_blue,pick_1_blue,pick_2_blue,pick_3_blue,pick_4_blue,kills_blue,towers_blue,dragons_blue,barons_blue,player_0_blue,kda_0_blue,csM_0_blue,dpM_0_blue,wpM_0_blue,player_1_blue,kda_1_blue,csM_1_blue,dpM_1_blue,wpM_1_blue,player_2_blue,kda_2_blue,csM_2_blue,dpM_2_blue,wpM_2_blue,player_3_blue,kda_3_blue,csM_3_blue,dpM_3_blue,wpM_3_blue,player_4_blue,kda_4_blue,csM_4_blue,dpM_4_blue,wpM_4_blue,match_duration,region
0,181,1,154,105,41,107,141,36,75,2,136,80,29,9,4,2,1087,3.25,7.2,635,0.25,1114,18.0,5.1,667,0.34,765,6.33,7.0,1086,0.34,1155,17.0,8.6,651,0.42,359,10.0,0.4,285,1.58,159,0,31,39,147,88,101,51,999,121,70,119,10,3,0,0,593,1.25,7.2,497,0.31,647,1.17,3.2,191,0.25,995,1.75,7.3,541,0.28,85,0.83,8.0,667,0.48,1011,0.56,0.4,174,1.44,00:35:20,BR
0,134,1,2,75,107,122,1,48,147,143,70,80,21,11,4,2,941,4.0,7.8,753,0.50,840,5.67,5.1,679,0.35,237,7.5,8.1,872,0.41,771,8.0,7.9,656,0.56,363,18.0,1.1,262,1.44,152,0,157,105,154,31,11,51,141,65,136,9,9,3,1,0,884,3.5,8.7,351,0.59,253,1.0,4.8,144,0.18,827,1.75,7.3,591,0.24,792,1.2,8.0,640,0.38,643,1.5,0.7,412,1.77,00:33:55,BR
0,80,0,105,75,31,124,39,51,141,11,53,82,14,3,4,0,639,4.5,7.0,333,0.37,45,3.67,5.5,270,0.31,737,2.2,9.2,817,0.40,518,1.6,8.4,565,0.40,503,2.33,1.1,123,1.52,157,1,101,2,107,47,56,88,147,69,157,154,18,7,1,1,395,2.8,8.0,793,0.71,1133,2.67,6.0,326,0.25,1171,3.25,7.4,436,0.59,157,10.0,7.0,796,0.53,624,15.0,0.2,294,1.58,00:32:14,BR
0,124,0,17,105,47,147,141,51,75,11,157,154,3,2,0,0,284,0.0,6.8,135,0.49,959,0.5,5.2,447,0.19,103,0.33,8.6,349,0.37,474,1.0,9.2,324,0.49,563,1.5,0.2,142,1.01,194,1,2,101,107,48,36,31,145,122,70,80,15,9,4,1,93,4.0,10.2,318,0.49,912,9.0,5.5,144,0.52,33,13.0,8.5,842,0.49,646,14.0,9.3,807,0.30,1182,13.0,0.3,155,1.50,00:26:41,BR
0,91,0,105,70,56,2,54,48,75,143,136,41,10,3,1,0,360,1.0,8.5,659,0.32,930,1.17,4.1,383,0.23,338,2.0,9.0,724,0.29,1203,1.33,9.3,637,0.37,66,4.0,1.1,345,1.09,246,1,9,154,47,160,121,31,107,122,49,72,20,11,4,2,1001,12.0,9.9,617,0.43,931,8.0,5.6,275,0.32,522,7.0,8.6,596,0.69,834,6.5,8.4,544,0.46,965,3.0,1.1,244,1.01,00:34:43,BR
0,194,1,105,154,75,2,56,39,141,124,136,9,10,9,4,1,93,3.0,8.7,544,0.51,912,2.0,5.2,365,0.48,33,4.0,7.3,791,0.48,646,1.5,7.2,499,0.39,1182,1.5,0.3,372,2.02,157,0,31,47,107,101,122,18,147,33,70,80,15,3,0,0,395,1.75,6.2,424,0.51,1133,6.5,5.9,409,0.39,1171,3.67,5.3,480,0.42,157,7.0,6.7,554,0.51,624,10.0,0.3,137,1.18,00:33:06,BR
0,124,0,105,136,75,9,47,36,38,121,157,71,0,1,1,0,284,0.0,7.8,316,0.46,959,0.0,6.2,340,0.95,103,0.0,7.7,387,0.25,474,0.0,9.0,414,0.39,563,0.0,0.2,196,1.26,91,1,154,31,70,101,147,51,107,2,116,13,15,10,2,1,360,7.0,8.7,360,0.42,930,13.0,5.2,288,0.35,338,13.0,8.0,513,0.28,1203,12.0,9.2,661,0.49,66,8.0,1.9,145,1.26,00:28:33,BR
0,246,1,154,70,2,122,121,90,141,105,136,82,21,10,3,2,1001,3.67,6.2,329,0.50,931,3.4,5.1,273,0.31,522,9.0,9.8,883,0.34,834,6.67,7.5,1229,0.43,965,2.14,1.0,208,1.66,181,0,31,147,107,54,47,101,75,11,53,9,20,5,3,1,1087,1.8,8.0,372,0.36,1114,2.5,4.1,612,0.41,765,4.0,9.8,787,0.34,1155,4.0,8.8,667,0.34,359,10.0,0.6,501,2.50,00:41:41,BR
0,159,0,48,75,147,36,47,0,92,122,70,80,5,3,2,0,593,0.8,8.0,644,0.39,647,0.75,4.0,136,0.25,995,1.0,8.0,635,0.48,85,4.0,10.0,443,0.53,1011,1.25,0.2,104,1.35,134,1,56,107,51,141,90,60,999,105,157,154,19,9,3,1,941,14.0,7.2,747,0.39,840,17.0,5.3,403,0.65,237,14.0,7.9,594,0.51,771,6.5,10.0,388,0.56,363,7.5,0.3,196,1.60,00:35:38,BR
0,152,1,105,154,75,11,51,101,147,152,109,9,23,9,4,1,884,7.0,7.9,532,0.58,253,8.0,5.0,516,0.39,827,4.67,9.2,973,0.27,792,5.5,6.6,394,0.52,643,5.5,0.6,309,1.88,80,0,2,121,107,31,56,22,141,143,136,41,11,3,1,0,639,1.0,6.7,551,0.27,45,1.0,5.3,199,0.12,737,1.8,7.9,728,0.49,518,2.67,9.3,1032,0.46,503,2.33,1.0,377,0.94,00:32:57,BR
