,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
0,100 Challengers,S13,NA,12,58.3%,1.31,1870,108,30:53,16.5,12.5,6.8,5.2,75.0,58.3,2.17,54.2,1.00,50.0,0.83,-0.1,60,4.25,0.67,65.5,32.3,2467,2.9,0.92,1.10
1,100 Thieves,S13,NA,4,75.0%,1.69,1925,268,30:31,14.8,8.8,8.3,3.8,75.0,75.0,3.00,75.0,1.25,62.5,1.00,0.3,3025,4.75,1.00,100.0,34.0,2328,2.8,0.91,1.27
2,3BL Esports,S13,AL,3,33.3%,0.98,1770,-6,32:41,15.0,15.0,3.3,8.0,100.0,-,2.67,58.3,0.33,16.7,1.00,-0.7,-2032,1.67,0.67,66.7,32.0,2131,2.6,0.84,1.45
3,5 Ronin,S13,TR,4,25.0%,0.93,1662,-188,31:15,10.0,10.8,3.3,8.3,50.0,25.0,2.00,43.3,0.75,37.5,0.75,-0.3,-356,2.50,0.50,25.0,29.9,2057,2.7,1.09,1.07
4,Aegis,S13,FR,6,33.3%,0.81,1721,-157,32:26,11.3,13.8,5.5,7.5,50.0,50.0,2.00,45.3,0.83,41.7,1.00,0.3,-47,3.50,0.67,33.3,31.9,1852,2.6,0.99,1.35
5,Akroma,S13,FR,8,25.0%,0.80,1732,-143,32:27,12.9,16.0,5.1,7.3,50.0,62.5,2.00,36.3,1.00,50.0,0.88,0.3,-110,3.00,1.25,56.3,29.6,1908,2.8,1.04,1.06
6,Alior Bank Team,S13,PL,7,42.9%,0.87,1738,-66,31:42,10.6,12.1,5.1,7.1,42.9,42.9,2.14,52.9,1.00,50.0,0.71,-0.4,-1224,3.43,0.57,42.9,32.6,1912,2.7,1.00,1.30
7,All Knights,S13,LAT,5,20.0%,0.37,1595,-326,28:29,4.6,12.6,3.2,8.0,20.0,20.0,1.40,34.7,0.00,0.0,1.00,-0.6,-2731,1.60,0.40,25.0,32.2,1579,3.0,1.15,1.31
8,aNc Outplayed,S13,IT,4,100.0%,1.75,2050,343,33:44,22.3,12.8,9.5,3.3,25.0,100.0,4.00,80.8,1.50,75.0,1.25,0.8,2534,9.00,1.50,91.7,32.0,2792,3.2,1.01,1.49
9,Ankora Gaming,S13,RS,5,0.0%,0.40,1558,-421,31:13,6.4,16.2,1.6,10.2,20.0,20.0,1.80,40.0,0.60,30.0,1.00,-0.2,-1995,1.40,0.00,0.0,30.3,1578,2.6,0.86,1.03
10,Anorthosis Famagusta Esports,S13,GR,4,100.0%,2.08,2089,464,30:54,19.3,9.3,9.5,3.0,100.0,75.0,3.25,74.1,1.50,75.0,1.00,1.0,4344,7.25,1.25,91.7,34.2,2711,3.2,1.00,1.32
11,Anubis Gaming,S13,AL,3,0.0%,0.22,1525,-525,26:33,4.3,20.0,2.3,9.0,33.3,66.7,0.67,16.7,0.67,33.3,0.33,-0.3,-2440,4.33,0.00,0.0,28.5,1777,2.6,0.87,0.88
12,Anyone s Legend,S13,CN,12,16.7%,0.57,1632,-277,31:46,8.0,14.0,4.3,7.8,50.0,33.3,1.58,33.6,-,-,-,-,-,-,0.33,16.7,31.3,1984,-,-,-
13,AOE Esports,S13,NA,12,33.3%,0.70,1727,-171,34:12,12.7,18.0,4.4,8.1,16.7,25.0,2.17,39.8,0.50,25.0,1.08,-0.3,-1153,3.17,1.17,38.8,30.8,2410,2.7,0.65,1.35
14,Astralis,S13,EUW,8,37.5%,0.75,1715,-115,31:19,11.9,15.8,5.0,7.1,75.0,75.0,1.50,31.7,0.88,43.8,0.63,0.0,-411,5.63,0.50,35.7,29.3,2172,3.5,1.15,1.30
15,Atletec,S13,FR,8,50.0%,0.88,1767,-35,30:23,11.6,13.3,4.9,6.3,50.0,62.5,2.25,53.8,1.00,50.0,0.88,-0.1,120,2.75,0.50,37.5,32.3,1898,2.6,0.92,1.28
16,AXIZ,S13,JP,4,50.0%,0.75,1729,-81,33:04,12.8,17.0,5.8,6.5,25.0,50.0,1.50,33.3,1.00,50.0,0.50,0.0,136,5.25,0.50,33.3,30.1,2278,3.0,1.36,1.25
17,Axolotl,S13,IT,4,50.0%,1.36,1812,25,28:10,15.3,11.3,6.0,5.3,100.0,75.0,2.25,57.1,1.00,50.0,1.50,0.0,504,2.75,0.50,50.0,31.7,2314,2.8,0.81,1.28
18,AYM Esports,S13,ES,6,16.7%,0.59,1727,-202,31:23,10.7,18.0,5.3,8.5,33.3,50.0,2.00,46.7,0.67,33.3,1.17,0.2,-734,3.50,0.50,33.3,31.4,1850,2.8,1.02,1.19
19,Barça eSports,S13,ES,7,57.1%,0.96,1771,-51,37:40,12.3,12.9,7.7,6.7,28.6,42.9,2.14,39.4,0.71,35.7,1.00,0.0,-888,3.43,0.86,47.6,32.8,2197,3.1,0.99,1.60
20,beGenius ESC,S13,FR,8,50.0%,1.14,1827,112,36:50,14.3,12.5,7.4,6.4,37.5,50.0,2.50,48.3,1.13,56.3,0.50,0.0,-205,4.25,1.25,68.8,31.4,2410,3.2,1.17,1.42
21,Benelux United,S13,BE,4,75.0%,1.72,1901,240,34:39,16.8,9.8,7.8,4.8,50.0,50.0,3.75,70.8,0.75,37.5,1.75,0.0,250,3.00,1.50,75.0,32.5,2228,3.1,1.02,1.28
22,Berlin International Gaming,S13,DE,6,33.3%,0.86,1841,5,32:53,14.5,16.8,6.0,6.8,66.7,33.3,2.50,54.2,1.50,75.0,1.00,0.0,1349,5.00,0.50,33.3,32.4,2309,3.0,1.07,1.36
23,Besiktas Esports,S13,TR,4,25.0%,0.67,1693,-123,33:39,9.8,14.5,4.8,8.0,50.0,50.0,1.00,26.7,0.75,37.5,0.25,0.0,-1409,2.50,0.25,25.0,30.9,1783,3.2,1.43,1.35
24,Beyond Gaming,S13,PCS,3,33.3%,0.61,1620,-65,35:39,5.7,9.3,5.3,5.7,33.3,100.0,2.00,43.3,1.00,50.0,1.00,0.0,480,2.33,0.33,33.3,31.7,2042,3.9,1.51,1.67
25,Bilibili Gaming,S13,CN,9,55.6%,1.04,1857,98,35:55,15.2,14.7,7.8,5.4,88.9,55.6,2.44,52.0,-,-,-,-,-,-,1.22,59.3,31.0,2355,-,-,-
26,BISONS ECLUB,S13,ES,7,71.4%,0.95,1794,-42,35:48,14.9,15.6,7.1,6.9,14.3,71.4,2.57,53.6,1.14,57.1,0.71,0.1,-397,2.86,1.00,45.2,31.3,2664,3.1,0.75,1.24
27,BK ROG Esports,S13,FR,6,33.3%,0.87,1795,-54,31:24,12.8,14.8,4.5,7.5,-,50.0,2.33,55.6,1.00,58.3,1.50,0.0,-296,2.67,0.50,41.7,33.0,2138,3.1,0.99,1.38
28,Boavista FC,S13,PT,4,0.0%,0.44,1555,-444,30:47,9.3,21.0,1.8,9.5,50.0,25.0,2.00,43.8,0.50,25.0,1.50,-0.5,-2485,2.75,0.00,0.0,28.7,2000,2.5,0.56,1.07
29,BRION,S13,KR,15,46.7%,0.89,1739,-78,33:21,8.9,9.8,5.7,6.7,53.3,40.0,2.20,43.9,0.87,43.3,1.00,-0.4,-952,2.27,0.87,55.1,32.8,1950,3.5,1.50,1.91
30,BRO Challengers,S13,KR,13,7.7%,0.51,1591,-330,31:56,8.0,15.5,2.3,8.5,23.1,30.8,1.54,30.1,0.46,23.1,0.77,-0.2,-1653,2.23,0.23,10.6,30.8,1928,2.7,1.14,1.38
31,BRUTE,S13,CZ,3,33.3%,0.93,1829,72,37:03,13.7,14.7,7.0,7.3,66.7,66.7,3.00,52.1,2.00,100.0,1.00,0.0,1760,8.00,1.67,66.7,31.9,2199,2.7,0.83,1.19
32,Burning Core,S13,JP,5,20.0%,0.79,1768,-77,29:21,9.6,12.2,4.8,7.6,20.0,80.0,1.80,40.0,0.60,30.0,0.80,0.4,830,3.80,0.60,30.0,32.3,1935,2.8,1.21,1.52
33,Byteway Esports,S13,PT,4,75.0%,1.94,1843,173,29:04,15.5,8.0,6.5,3.5,25.0,50.0,2.75,65.0,1.00,50.0,1.50,0.0,1024,3.50,0.75,75.0,31.7,2200,3.1,1.20,1.20
34,Case Esports,S13,ES,6,83.3%,2.25,1900,289,30:09,15.0,6.7,8.8,2.7,83.3,66.7,2.17,50.0,1.67,83.3,0.67,0.3,2054,4.00,0.83,75.0,33.2,2226,3.0,1.11,1.38
35,Chief Esports Club,S13,OCE,5,80.0%,2.56,2054,394,27:28,22.0,8.6,8.0,3.2,60.0,60.0,2.60,77.3,1.60,80.0,1.40,0.2,1683,4.80,0.80,75.0,33.1,2344,2.5,0.92,1.17
36,Cincinnati Fear,S13,NA,12,75.0%,1.58,1924,216,29:20,18.2,11.3,7.9,4.2,58.3,58.3,2.33,63.3,1.00,50.0,1.00,0.4,1272,5.25,0.83,66.7,30.9,2436,2.7,0.79,1.24
37,CLG,S13,NA,4,50.0%,0.58,1756,-85,34:24,7.8,13.0,5.5,7.3,25.0,25.0,2.00,42.5,1.25,62.5,0.50,0.3,-26,4.00,1.00,54.2,33.3,1909,3.2,1.01,1.59
38,CLG Challengers,S13,NA,12,58.3%,1.45,1839,155,35:07,15.8,10.8,7.5,4.9,50.0,66.7,2.83,60.9,1.42,70.8,0.67,0.4,1466,5.58,0.58,43.9,32.4,2402,3.0,0.98,1.24
39,CLG Faith,S13,NA,12,8.3%,0.32,1552,-480,27:48,6.7,20.6,1.9,9.1,41.7,8.3,1.33,36.7,0.33,16.7,0.67,-1.7,-4870,2.17,0.25,31.3,29.6,1880,2.4,0.75,0.95
40,Cloud9,S13,NA,4,75.0%,2.19,1922,251,28:38,17.0,7.8,7.8,3.5,75.0,75.0,2.50,68.8,1.50,75.0,0.75,0.5,1558,5.50,0.50,50.0,33.1,2625,3.4,1.02,1.36
41,Cloud9 Challengers,S13,NA,12,75.0%,2.32,1977,364,30:24,17.8,7.7,8.6,3.3,58.3,75.0,2.92,71.3,1.58,79.2,1.33,0.6,3081,6.50,1.17,90.9,32.7,2624,3.2,1.16,1.43
42,Crest Gaming Act,S13,JP,8,37.5%,0.63,1692,-233,30:02,8.8,13.8,4.6,7.5,37.5,12.5,1.38,28.8,1.13,56.3,0.38,-0.9,-2681,2.75,0.63,37.5,31.3,1694,3.2,1.39,1.40
43,Crvena zvezda Esports,S13,RS,5,60.0%,1.22,1806,107,29:16,12.0,9.8,6.4,4.4,40.0,60.0,2.20,53.3,1.60,80.0,1.00,0.4,1628,5.20,0.60,60.0,32.6,2022,2.9,0.88,1.26
44,Cryptova,S13,CZ,3,33.3%,0.81,1717,-210,31:46,13.0,16.0,4.3,8.7,-,33.3,2.33,47.2,0.67,33.3,0.67,0.0,-1171,3.67,0.33,11.1,30.6,2150,2.4,0.72,1.14
45,CTBC Flying Oyster,S13,PCS,3,66.7%,2.11,1934,259,28:30,12.7,6.0,7.3,4.7,66.7,33.3,2.67,75.0,0.67,33.3,1.33,1.0,2486,4.33,0.67,66.7,34.2,2016,3.0,1.30,1.84
46,Cyber Wolves,S13,RS,5,80.0%,2.91,1935,360,29:21,18.6,6.4,8.6,2.8,100.0,80.0,3.00,69.3,1.80,90.0,1.20,1.0,4663,6.80,1.00,66.7,30.8,2354,2.7,0.89,1.14
47,Cyberground Gaming,S13,IT,4,50.0%,0.94,1849,-3,32:39,16.3,17.3,5.8,7.3,25.0,25.0,1.25,33.3,1.00,50.0,0.50,0.0,-1042,4.00,0.50,33.3,31.3,2740,2.3,0.79,1.16
48,Dark Passage,S13,TR,4,50.0%,1.07,1781,16,36:05,16.0,15.0,7.0,6.5,25.0,50.0,2.50,50.8,0.75,37.5,0.75,0.0,733,4.00,1.50,62.5,29.6,2221,3.1,1.14,1.44
49,Deep Cross Gaming,S13,PCS,3,66.7%,1.15,1758,40,32:46,10.0,8.7,6.0,5.0,66.7,-,3.00,63.3,1.33,66.7,1.33,-0.3,-1342,4.00,0.67,66.7,31.3,2047,3.0,1.22,1.68
50,Detonation FocusMe,S13,JP,6,66.7%,1.36,1949,216,25:09,15.2,11.2,6.3,3.5,33.3,66.7,1.67,61.1,1.50,75.0,1.00,1.3,3020,7.00,0.67,66.7,32.2,2226,2.9,1.22,1.58
51,Dewish Team,S13,PCS,3,33.3%,0.76,1662,-204,30:23,12.7,16.7,4.3,7.3,66.7,-,2.00,43.3,0.33,16.7,0.67,-0.3,-2474,2.00,0.33,33.3,28.6,2384,3.1,1.12,1.46
52,Diamant Esports,S13,RS,5,80.0%,1.45,1915,276,31:10,16.2,11.2,9.0,3.0,40.0,80.0,2.40,55.3,1.20,60.0,1.00,0.4,758,4.80,1.00,80.0,31.0,2487,2.6,0.89,1.26
53,Dignitas,S13,NA,4,0.0%,0.27,1550,-431,29:22,3.8,14.0,2.5,10.3,-,-,0.50,12.5,0.25,12.5,0.00,-1.3,-3784,1.75,0.00,0.0,31.1,1642,2.8,1.02,1.69
54,Dignitas Challengers,S13,NA,12,83.3%,1.32,1917,272,29:11,14.5,11.0,8.0,2.8,50.0,83.3,2.33,61.1,1.08,54.2,1.25,1.3,2998,7.25,0.75,77.8,32.3,2666,2.7,0.89,1.20
55,Dire Wolves,S13,OCE,6,83.3%,2.00,1904,250,31:21,17.3,8.7,8.3,3.3,66.7,66.7,2.50,60.8,1.00,50.0,0.50,0.2,280,3.17,1.17,88.9,31.8,2139,2.7,1.19,1.32
56,DK Challengers,S13,KR,18,72.2%,1.59,1882,164,32:52,14.1,8.8,7.2,4.7,38.9,77.8,2.61,56.6,0.94,47.2,0.78,0.2,1136,4.33,0.89,61.8,35.1,2036,3.2,1.32,1.69
57,Domino Esport,S13,EUW,4,0.0%,0.41,1589,-464,27:11,9.3,22.8,1.8,9.5,25.0,-,0.75,25.0,0.00,0.0,0.50,-0.8,-3496,4.00,0.00,0.0,28.7,1961,2.3,0.76,0.86
58,Dplus KIA,S13,KR,14,64.3%,1.59,1804,98,32:19,11.9,7.5,6.2,4.7,64.3,57.1,2.79,63.6,1.57,78.6,1.07,0.1,1666,5.00,0.71,60.7,32.9,2199,3.6,1.51,1.68
59,DREN Esports,S13,IT,4,0.0%,0.49,1719,-222,38:42,11.3,23.0,5.0,10.3,25.0,25.0,1.75,25.0,0.25,12.5,0.25,-0.3,-1561,2.00,0.75,18.8,31.7,2384,2.6,0.76,1.37
60,DRX,S13,KR,15,33.3%,0.57,1687,-194,31:45,8.7,15.2,4.7,7.4,20.0,46.7,2.07,46.2,0.53,26.7,0.73,0.0,-1461,3.00,0.40,32.1,31.5,2253,3.0,1.35,1.79
61,DRX Challengers,S13,KR,13,46.2%,0.89,1745,-36,34:46,10.5,11.7,6.0,6.6,46.2,69.2,2.77,54.9,1.23,61.5,1.08,0.2,211,3.23,0.69,38.5,32.0,2157,3.2,1.26,1.59
62,Dsyre Esports,S13,IT,4,75.0%,1.01,1870,28,40:03,17.3,17.0,9.3,5.5,50.0,75.0,2.50,51.8,1.25,62.5,0.75,0.3,1771,6.75,1.25,56.3,31.8,2300,3.8,1.29,1.62
63,Dynamo Eclot,S13,CZ,3,100.0%,1.24,1893,219,35:30,19.0,15.3,9.3,3.7,100.0,66.7,3.67,73.3,1.33,66.7,1.00,0.3,1274,4.33,1.00,100.0,32.1,2889,3.1,1.06,1.35
64,E WIE EINFACH E-SPORTS,S13,DE,6,33.3%,0.54,1696,-225,27:47,8.7,16.0,4.2,6.7,33.3,50.0,1.67,35.8,1.00,50.0,0.50,-0.7,-1914,3.17,0.50,41.7,31.6,1848,2.5,0.99,1.02
65,Edward Gaming,S13,CN,6,66.7%,1.09,1851,76,32:06,12.2,11.2,6.7,5.0,33.3,50.0,2.50,62.5,-,-,-,-,-,-,0.83,58.3,32.8,2224,-,-,-
66,EGN Esports,S13,PT,4,50.0%,1.23,1792,121,32:31,13.3,10.8,6.3,5.8,25.0,50.0,2.75,60.4,1.00,50.0,1.00,0.5,1976,3.75,0.50,50.0,30.4,2213,2.7,1.01,1.10
67,Eintracht Frankfurt,S13,DE,6,16.7%,0.58,1645,-301,37:08,10.7,18.5,4.2,9.5,50.0,33.3,2.50,46.2,0.33,16.7,1.17,-0.5,-1889,2.00,0.33,8.3,31.2,2232,2.9,0.83,1.58
68,Eintracht Spandau,S13,DE,6,83.3%,1.09,1875,133,35:57,16.2,14.8,9.2,5.3,33.3,100.0,2.50,54.0,1.33,66.7,0.83,0.3,633,6.50,1.50,88.9,32.6,2829,3.6,1.27,1.54
69,Entropiq,S13,CZ,3,100.0%,2.26,2028,414,32:04,20.3,9.0,9.7,3.3,66.7,33.3,3.00,69.0,0.67,33.3,1.33,0.7,1869,6.00,1.33,88.9,33.2,2434,3.1,1.09,1.20
