,Name,Season,Region,Games,Win rate,K:D,GPM,GDM,Game duration,Kills / game,Deaths / game,Towers killed,Towers lost,FB%,FT%,DRAPG,DRA%,HERPG,HER%,DRA@15,TD@15,GD@15,PPG,NASHPG,NASH%,CSM,DPM,WPM,VWPM,WCPM
129,Isurus,S13,LAT,4,50.0%,0.70,1727,-140,31:56,12.3,17.5,4.8,7.8,75.0,25.0,1.25,30.0,0.75,37.5,0.25,-0.5,-1924,2.75,0.50,37.5,30.6,2184,2.9,1.18,1.15
130,IZI Dream,S13,FR,6,16.7%,0.85,1666,-131,36:33,11.7,13.7,4.7,8.8,66.7,50.0,1.67,32.2,0.33,16.7,0.50,0.0,178,2.50,0.50,30.6,30.6,1924,2.7,1.07,1.41
131,J Team,S13,PCS,3,33.3%,1.14,1660,-60,31:55,10.7,9.3,4.0,7.0,33.3,66.7,1.33,31.7,1.33,66.7,0.33,-0.3,481,5.67,0.33,33.3,28.0,1658,3.3,1.74,1.50
132,JD Gaming,S13,CN,7,85.7%,1.89,1983,341,30:55,16.4,8.7,8.9,3.3,57.1,57.1,2.86,76.7,-,-,-,-,-,-,1.14,72.2,32.7,2605,-,-,-
133,Joblife,S13,FR,8,87.5%,1.39,1850,156,35:06,17.8,12.5,7.8,4.4,50.0,-,2.88,59.6,0.50,25.0,1.25,-0.4,-560,2.00,1.13,72.9,30.3,2336,2.4,0.60,1.22
134,KaBuM! Academy,S13,BR,4,100.0%,3.50,1939,362,31:46,19.3,5.5,10.0,2.8,75.0,75.0,3.50,80.0,1.50,75.0,1.75,1.0,3505,6.00,1.50,100.0,30.2,2545,3.7,1.51,1.33
135,KaBuM! e-Sports,S13,BR,6,66.7%,1.28,1897,227,36:46,16.8,13.2,9.0,4.8,50.0,100.0,3.17,63.8,1.00,50.0,1.33,0.7,1872,5.00,1.50,88.9,31.8,2625,3.6,1.52,1.65
136,Kanga Esports,S13,OCE,5,0.0%,0.39,1532,-445,27:30,6.4,16.4,1.4,9.0,-,20.0,0.20,5.0,0.20,10.0,0.20,-1.4,-3917,1.20,0.00,0.0,30.0,1721,2.5,0.79,1.06
137,Karmine Corp,S13,FR,6,33.3%,0.61,1654,-180,32:21,9.0,14.7,4.5,7.8,33.3,50.0,2.00,41.4,1.17,58.3,0.67,0.3,-1221,4.33,0.33,25.0,30.1,2125,2.8,1.00,1.16
138,KDF Challengers,S13,KR,17,35.3%,0.72,1718,-128,30:27,10.0,13.9,5.2,6.4,41.2,64.7,2.12,47.6,1.29,64.7,1.00,0.3,390,4.24,0.53,32.3,31.3,2079,2.9,1.21,1.34
139,Klanik Esport,S13,FR,8,75.0%,1.25,1781,101,34:53,13.6,10.9,7.1,4.5,37.5,62.5,2.63,49.7,1.38,68.8,0.25,0.1,248,5.25,1.00,64.3,30.5,2184,2.9,1.12,1.25
140,KOI,S13,EUW,8,37.5%,0.75,1687,-140,34:38,9.5,12.8,4.9,7.5,87.5,37.5,1.75,39.0,0.75,37.5,0.63,-0.5,-827,4.75,0.50,26.2,31.6,2053,3.2,0.87,1.38
141,KOI Academy,S13,ES,7,42.9%,1.03,1758,5,35:49,11.4,11.1,7.1,7.1,57.1,28.6,1.57,37.1,0.86,42.9,0.71,-0.1,-241,2.86,0.86,57.1,31.9,1786,3.1,1.11,1.31
142,Komil & Friends,S13,PL,7,14.3%,0.53,1658,-317,31:34,11.0,20.6,3.0,9.3,42.9,28.6,1.71,35.3,0.43,21.4,1.14,-0.1,-2302,3.00,0.29,14.3,29.4,1953,2.8,0.87,1.36
143,KRC Genk Esports,S13,BE,4,75.0%,1.60,1935,244,32:38,16.8,10.3,9.5,2.8,50.0,100.0,2.50,49.2,1.50,75.0,1.00,0.3,1487,6.25,1.50,75.0,31.9,2422,2.7,1.06,1.39
144,KT Challengers,S13,KR,17,70.6%,1.39,1832,149,33:47,13.9,10.0,7.5,5.2,64.7,52.9,3.18,67.6,1.06,52.9,0.94,-0.1,660,4.53,0.94,66.7,32.3,2176,3.3,1.46,1.51
145,KT Rolster,S13,KR,15,53.3%,1.27,1811,68,30:53,10.4,8.2,6.1,5.2,60.0,66.7,2.07,49.6,1.00,50.0,0.53,0.2,647,4.60,0.60,53.6,34.1,1933,3.0,1.36,1.74
146,Kwangdong Freecs,S13,KR,14,28.6%,0.65,1704,-132,33:35,7.7,11.8,4.6,7.2,35.7,28.6,2.00,41.4,0.93,46.4,0.64,-0.4,-1094,4.43,0.29,23.1,33.1,2064,3.4,1.45,1.70
147,LDLC OL,S13,FR,6,83.3%,1.33,1857,151,37:39,14.2,10.7,8.3,4.8,50.0,50.0,3.00,51.7,0.33,16.7,0.67,0.0,298,3.50,1.83,83.3,33.0,2183,2.9,1.07,1.43
148,Levante UD Esports,S13,ES,6,50.0%,1.28,1843,75,36:04,17.7,13.8,7.0,5.3,83.3,83.3,2.83,57.0,0.83,41.7,0.83,-0.2,911,4.00,1.50,61.1,29.9,2333,2.9,1.14,1.09
149,LEX esports,S13,ES,6,33.3%,0.89,1709,-73,33:06,10.8,12.2,5.5,7.7,66.7,50.0,1.50,28.8,1.67,83.3,0.17,0.0,309,4.83,0.17,10.0,31.4,1975,3.1,1.06,1.26
150,LGD Gaming,S13,CN,8,37.5%,0.85,1748,-53,35:00,9.8,11.5,5.3,7.4,25.0,50.0,2.00,40.3,-,-,-,-,-,-,0.88,45.8,32.7,2285,-,-,-
151,Liberty,S13,BR,6,50.0%,0.68,1743,-121,37:00,12.8,18.8,6.2,7.7,50.0,66.7,2.83,53.1,0.67,33.3,1.33,0.0,-668,3.67,0.83,41.7,30.4,2269,3.8,1.35,1.72
152,Liberty Academy,S13,BR,4,25.0%,0.88,1757,-114,33:55,15.3,17.3,4.5,8.5,25.0,50.0,2.00,39.6,0.25,12.5,0.25,-0.3,-906,2.75,0.25,25.0,30.4,2387,3.3,1.33,1.25
153,Liiv SANDBOX,S13,KR,16,56.3%,0.94,1748,-47,34:13,10.0,10.6,5.8,6.5,62.5,43.8,2.50,50.4,0.88,43.8,1.19,-0.1,-416,2.56,0.63,44.4,33.1,2062,3.9,1.67,1.80
154,Lille Esport,S13,FR,8,50.0%,0.68,1795,-48,30:35,11.8,17.3,6.3,5.9,37.5,75.0,1.75,40.6,1.13,56.3,0.88,0.3,-190,5.00,0.38,42.9,31.8,2049,2.6,0.95,1.16
155,LNG Esports,S13,CN,6,100.0%,2.00,1944,266,32:04,17.0,8.5,8.8,3.3,33.3,66.7,3.17,65.0,-,-,-,-,-,-,1.17,83.3,33.6,2317,-,-,-
156,Los Grandes,S13,BR,6,83.3%,1.60,1927,266,34:35,18.7,11.7,8.5,3.8,50.0,33.3,3.00,63.9,1.00,50.0,1.00,-0.5,-54,5.83,1.33,77.8,32.1,2667,3.0,1.23,1.63
157,Los Grandes Academy,S13,BR,4,50.0%,1.22,1718,-80,33:28,16.8,13.8,5.5,7.3,25.0,-,1.75,35.0,0.50,25.0,0.75,-0.3,-1384,2.75,0.75,50.0,28.0,2260,3.3,1.57,1.40
158,LOUD,S13,BR,6,50.0%,0.82,1771,-51,32:14,12.8,15.7,5.7,7.3,33.3,33.3,2.00,53.3,0.83,41.7,1.00,-0.2,-567,4.17,0.33,20.0,31.3,2301,3.5,1.47,1.42
159,LOUD Academy,S13,BR,4,25.0%,0.59,1736,-121,35:17,11.3,19.0,5.5,8.3,75.0,25.0,2.75,50.8,1.00,50.0,0.75,0.0,194,4.25,0.75,33.3,30.1,2326,2.9,1.14,1.43
160,LSB Challengers,S13,KR,15,33.3%,0.83,1735,-99,34:51,13.9,16.7,5.5,7.5,66.7,26.7,1.93,39.6,0.80,40.0,0.73,-0.2,-1096,2.53,0.67,43.3,30.2,2339,2.8,1.26,1.54
161,Macko Esports,S13,IT,4,75.0%,1.18,1905,210,32:32,16.5,14.0,7.8,3.5,50.0,75.0,3.00,72.5,1.50,75.0,1.00,0.0,1125,6.00,1.25,75.0,31.8,2782,2.8,0.74,1.26
162,MAD Lions,S13,EUW,8,75.0%,1.42,1883,197,30:03,13.9,9.8,8.3,4.3,50.0,62.5,3.00,75.6,1.38,68.8,1.25,0.4,1205,5.63,0.63,57.1,32.3,2293,2.9,1.05,1.34
163,MAGAZA,S13,RS,5,60.0%,0.99,1839,153,34:22,13.6,13.8,7.0,4.8,40.0,60.0,3.00,59.3,1.00,50.0,1.20,0.2,-123,4.60,1.20,86.7,30.6,2263,2.7,0.84,1.39
